Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
7,511.911116,209511.069,233208.2986,2357.734114,72.50422759,3,72272673.73,1,5947534.284,7196.52637,93.89590887,2406
1,613.1123247,200285.9449,441188.1696,772.9395548,82.96139206,1,452767527.5,3,15795168.48,35884.87653,2.623855637,3871
3,855.692318,329785.2988,268301.2009,6950.845394,98.55213201,1,104139436.7,1,19651202.93,5649.383611,54.16497737,934
6,638.7794973,312630.8134,236362.6792,7518.443574,58.10123397,2,124527969.9,2,9641548.211,27227.1013,4.110015345,4793
5,850.0664111,97793.68766,314622.5383,6858.453351,90.52459622,1,435807803.3,1,14742797.66,25511.01408,96.26732229,3418
4,836.8475872,37263.95178,328987.2611,7096.89847,65.77696395,2,431446289.3,1,19670967.03,23165.91779,56.44556286,1473
1,341.7827662,439317.4424,61360.61778,9514.826529,74.24506468,1,362664490.5,2,9440230.785,10220.6075,94.86765646,3444
4,436.6223601,189791.1203,267136.6811,9830.393977,56.26946627,3,318226069.1,3,7067421.79,48642.12088,7.570521466,4710
4,20.58552064,273681.0435,189224.664,6601.900834,91.12121158,2,322933417.1,2,4082588.572,7412.867223,44.83409787,1793
3,386.4604686,306434.598,323687.2224,4017.623182,68.61917411,2,467401045.7,3,8366588.341,3277.17418,30.5235899,2450
2,826.5273359,329289.8961,361126.0204,5463.1386,66.82436698,2,425088746.2,3,5372065.613,1187.056003,89.75663202,3886
7,187.5521786,71414.47044,373960.4382,2142.057395,64.88325005,4,465801558.6,3,3612095.954,5482.940386,29.7626473,4694
7,277.1209112,11945.63524,160011.472,9572.763288,62.0789339,4,102158027.5,2,2936118.6,30730.54856,23.50429026,1652
3,485.7555282,105064.6077,248354.6852,6083.951633,58.123724,1,81650064.92,3,2102350.671,4350.524104,87.02732246,1151
5,529.0615884,112324.2419,239191.9664,6499.490481,54.58106533,2,412263057.4,1,7091328.937,23717.66856,57.54591164,4765
5,52.53843502,207661.4924,260025.2395,7735.896754,61.56113489,3,108831107.4,1,17429287.2,45213.90579,25.06816607,162
2,759.0779959,78570.62109,377572.8893,9601.598532,69.44517198,4,219152527.6,3,19956029.77,26311.99811,28.78617576,3965
5,551.550595,220118.5484,265329.2572,7286.055258,93.10703619,1,26787058.41,1,6133335.523,24894.67836,65.51383909,1057
4,575.2598746,92121.20152,91845.75705,7569.923862,74.60808121,2,178032740,2,17526052.27,48324.87314,51.47209488,4222
6,349.1203558,103507.7248,6686.591669,5103.533405,60.65558973,2,82874466.91,2,14091928.54,21295.28158,99.85726776,806
1,245.0947817,273130.4128,363935.132,2755.676774,98.03848108,2,387023796.3,2,1451854.086,32456.8292,55.71184112,3881
7,698.4807765,372472.3166,139407.5679,1938.154116,68.50416437,3,72079304.43,1,2531168.958,27375.11959,61.3918823,2644
4,288.0510871,350492.8739,279704.0665,3483.497892,58.53135203,1,256608948.8,1,14060694.59,7715.209842,95.58582629,1086
2,70.72719757,489002.78,385899.0456,7465.763641,67.94965664,1,30652154.56,2,18819307.44,35960.29128,71.81377709,1584
5,173.3734828,230714.5388,127797.6901,2763.192096,99.16665858,2,496711677.2,1,352595.3404,13974.58581,61.41282443,872
7,720.849517,237411.1265,431470.9594,5494.196613,92.38233081,2,490340359.3,2,7371391.408,2960.940682,43.10674039,1517
4,496.1021647,451693.8927,349150.049,4974.059757,57.70919341,2,245064083.9,2,1329371.378,35815.63463,41.11082246,278
3,284.9766921,42993.60354,139412.0596,3309.073652,60.07295915,4,361290861.4,2,13705513.69,19152.23653,1.656759019,1955
7,605.0147401,333320.1961,353401.643,5238.73937,96.58550688,2,409504866.2,3,8135214.018,12233.73219,12.48919115,1918
2,100.2683316,253130.9356,126049.0219,8838.238542,99.31827806,1,382641761.5,1,3249707.66,31575.1133,39.71603717,728
7,742.7373581,455186.2902,147269.2502,9715.388991,93.16605117,2,429556596.8,3,238146.7048,20684.64182,71.07238757,472
1,437.8750288,4152.556309,95086.80736,5337.336591,72.90253295,3,486164401.1,3,8602228.375,31088.30889,6.777921784,3209
2,816.8409026,172378.0533,76794.88451,8336.606067,56.43854353,1,319204795.4,1,7193881.827,28433.00898,15.44729157,3736
2,666.1452274,133162.3387,289131.3488,2316.998028,59.15681084,4,149864828.5,1,9097246.935,5898.942683,78.38074616,4760
3,663.1500015,222436.5643,334814.9657,3691.504781,65.2002528,1,27865024.5,1,5598280.703,29611.95314,44.70389447,737
5,438.3331109,470561.226,53052.37919,9273.207049,68.61771967,1,139684923.9,3,1932688.213,264.1769476,91.54844912,816
6,962.3865286,270282.3818,131116.4567,4528.178684,91.72812932,2,60500670.81,1,14046100.2,4318.584492,58.63917899,4186
3,859.8087217,264048.3315,347957.1592,3911.50245,73.56111259,4,259093494.7,1,13518819.54,18600.03347,14.88341844,2568
4,917.6469956,88501.86512,75735.23927,3717.523188,53.84815921,1,454362000,1,10812259.69,12441.00777,56.54690258,1599
2,799.8160033,431930.4664,235432.9733,217.0684056,77.48588055,4,132337438.4,3,8403971.306,49481.81622,48.56926153,1486
4,656.2554567,31093.24751,393590.1393,1817.314424,95.88165005,1,256199621.7,2,1185014.932,36881.43447,27.98936501,2532
5,196.7352175,76023.95093,209369.9178,7632.017761,74.01291399,2,498911353.2,3,806908.524,34702.7749,70.25424278,1238
5,127.463168,83170.56957,332545.0032,2704.165962,84.97832253,2,264672003.8,2,10786166.7,7480.396631,35.4786659,4185
2,709.3905323,68064.47354,157431.9015,7415.992685,54.9265102,3,182527613.8,3,5357895.243,45177.38777,13.83395009,4816
7,321.6032081,396644.725,69710.20177,8906.987637,80.63951934,1,263322241.2,2,5906716.057,35074.25815,14.57586648,4728
4,932.3998293,162119.7173,272728.0188,1512.164075,55.12834755,1,225973384.9,1,8310857.525,42627.83221,53.26552293,1154
2,387.6745165,271103.261,86831.71897,4458.610121,98.22398517,1,53385813.67,3,12902694.8,5420.392103,33.06904271,4817
2,926.0127333,87004.86367,440448.8368,5467.566733,66.25013756,1,325421503.8,2,3805455.52,34990.04006,37.26963214,848
2,971.5373093,197637.6286,326732.9314,5203.214405,92.62542376,1,295097159.5,3,18310642.29,31437.29876,64.20313611,2372
5,304.9154547,44187.31499,339678.812,4338.60525,75.31568741,4,377419265.5,2,11149648.22,25681.48096,67.40973365,3974
2,933.1226373,149969.1759,156450.1494,1268.975132,64.52765042,3,271043310.5,1,14118502.43,26325.88814,82.95593683,128
7,120.4949114,122304.1453,269590.3712,1274.162887,66.6341788,4,42724610.86,2,10342756.65,29405.56156,30.51404962,947
6,758.4305201,483892.9314,420905.946,1509.672659,74.22692358,4,214331576,1,6007441.131,22403.48856,98.29453513,4029
4,939.2357543,368907.4361,191184.951,789.5791528,71.64484501,1,42881386.4,1,9638901.863,34910.79263,99.08869621,1933
6,960.131942,418816.2656,449121.7791,2991.419395,95.8279927,3,412016427.6,3,8358812.095,23358.12019,61.64314678,3774
5,211.6887362,23588.3818,322712.0108,4981.420733,94.71361533,1,254913385.8,3,6284861.16,2752.991139,78.62553501,2185
2,488.9306063,313121.9884,375083.976,560.8850878,80.32966882,2,231264906.4,1,11705461.22,9761.461024,81.63554755,833
6,975.3741927,236500.221,152833.6532,252.5663889,82.37288376,2,230577435.2,3,19580273.39,22252.65955,23.14516785,1363
5,99.99698635,271308.9824,105752.1344,9545.420073,95.59056015,2,265854332.2,1,18347478.04,33616.60036,6.895529143,469
7,904.4023156,79466.4528,73641.27762,1988.018863,99.99130397,2,398045284,2,13345005.36,12809.65792,81.38028916,2548
6,723.0649609,218393.446,112010.0724,9337.177029,54.82292922,3,70358031.41,3,2214133.645,23438.04528,79.67950861,2398
3,600.3224253,469818.428,126179.9839,3674.656558,73.88283743,3,246358554.5,2,19164967.19,40817.75008,30.11143978,1979
6,571.9126529,286588.8263,425799.9722,9885.320655,65.87978892,3,17491027.41,2,4743610.019,14915.69142,45.05357429,3183
4,831.87626,225790.2172,335891.1095,9201.086691,80.36383656,3,433519494,2,14772353.51,13767.9051,87.04843371,4727
3,149.2328012,116401.5695,263841.7956,1342.943335,89.54724323,2,1552573.362,2,16372187.09,48065.22965,91.14755151,4247
1,724.6318261,437521.5674,313749.5099,1802.349283,53.05101815,2,221585140.1,1,7775664.031,39349.83239,90.02526229,2767
6,527.6438129,68764.19394,198927.0864,908.7597958,90.95815257,3,4264453.08,1,18327255.9,17599.39758,40.05317524,770
5,681.2515125,447994.8589,150254.7575,7967.154949,74.07039723,1,217177549,3,3984690.479,23870.57937,7.117794437,4378
3,25.71821823,240070.0095,244438.8387,607.1647404,90.69321263,4,316365757.7,1,10290950.11,40791.59035,3.291792988,3824
1,242.7278888,406258.7929,59995.97339,9011.902596,64.45261242,2,70742698.84,1,15188327.48,33060.47566,17.78562013,2386
2,277.6013534,48171.46883,393127.7572,2577.218317,78.8619524,3,389529236.9,3,350262.3724,39606.77877,20.57495805,4991
1,637.0295271,79096.32407,179967.1275,9086.675724,74.45931214,4,463207037.2,2,16581803.74,6927.782492,60.03359122,3337
2,351.7263045,125500.2815,83533.31123,3668.374197,84.76822069,2,325976197.5,2,18447356.65,6446.177544,93.59143969,2375
6,458.6227813,19920.03879,178601.0026,2248.954033,90.60846795,1,145744262.1,2,7374689.931,24414.4143,39.55174879,859
6,678.6538046,255474.9269,25671.71062,1776.352115,86.35438985,1,129047624.2,1,6592405.167,16889.85167,14.78880654,4668
7,200.6902031,255696.793,174931.2231,4284.963429,52.07735517,3,390855887,1,4739805.403,36280.68819,3.542210489,4788
7,373.9079272,273854.1005,242116.5633,6694.961929,86.78657987,2,338757766.8,3,17190290.94,49211.39959,23.98279076,1388
3,31.54975854,358991.2498,440430.1952,8015.163196,76.32196574,4,220380328.6,3,1735250.815,44830.82979,96.74487075,1699
5,3.935225092,341552.9918,261971.399,2482.874464,83.47770369,2,104990469.1,3,16340543.71,11009.1994,36.17243215,295
4,506.8794349,383975.1118,134504.1392,458.4773945,86.13587887,3,445355000.1,3,19862463.12,23275.70552,9.494819982,4986
5,406.6748956,341960.3739,405519.3525,5446.886731,87.7696965,4,292179300.4,2,16440573.43,46212.45737,10.80169605,2202
3,954.4489912,321503.9006,259482.9179,1793.03415,94.31516134,4,355287017.2,2,8498279.56,49368.33598,34.23385919,3751
3,650.2852014,377231.5658,402367.5237,8506.829234,75.66201762,1,88834468.58,3,12744257.61,18398.64702,24.28592027,3396
4,437.8625706,374902.7988,13247.90455,1901.69618,71.48904205,4,277320278.4,1,1753104.032,15236.38297,49.90724393,4346
6,258.6302291,423937.0564,156298.5756,6568.853789,81.56811825,2,42634539.29,2,18327558.31,5236.217513,8.277841151,3593
6,143.3757968,162599.0087,212059.8316,7322.2969,79.6189445,3,222193237.3,3,17199367.42,27512.53887,68.66294775,2504
7,869.6942564,356273.9965,109221.3579,8317.88068,91.08242309,4,113806699.3,3,11365011.4,19729.48306,31.61505341,2599
6,302.8703579,29277.33076,96482.89587,2102.584151,59.62281916,4,337273888.3,1,19203003.97,9780.970195,92.43025584,4555
6,24.19843556,328825.3247,340489.6929,6217.270072,65.01304468,3,283802755.1,3,8905773.333,41902.33283,48.5347995,3958
6,693.9046077,395516.8832,20061.51441,9778.931169,63.9602216,1,340455844.1,2,18194574.11,48266.68355,49.80916735,3071
1,523.3252512,8523.580473,257574.5646,4184.542336,96.51847065,4,110779587.1,2,15101537.34,34874.45614,40.53712063,3667
2,99.8131059,18161.9168,400507.3456,9508.819584,65.23934912,2,382076388.8,2,9730621.832,28689.28767,65.71286545,2188
2,115.6132388,303775.5481,345604.0208,3417.88381,58.23890487,3,419974409.3,3,1943258.763,9371.869727,60.07775096,2570
1,3.814259882,291569.6233,187456.9313,260.1174127,68.77636007,1,292235215.6,2,17431014.2,25375.65791,57.57996879,985
7,942.2237997,308105.7749,60342.37295,7660.011778,55.32741395,2,296955528.5,2,3799462.211,41436.24253,54.13526581,242
4,947.2472534,85166.87743,6212.255721,2422.237334,91.32017521,2,351913820.2,3,2546276.512,4733.810359,97.0836319,551
4,198.6959299,30514.31252,442512.5836,8409.077301,85.9924893,3,243069419.2,3,16774353.45,2687.171714,74.95493078,2147
6,881.3317744,171029.9329,232079.3692,1046.781723,65.20941417,3,32068168.04,2,11500174.86,41748.56118,17.81763369,2874
6,70.04487612,438918.6805,200616.8951,8079.387318,69.88532418,3,371307007.8,2,12636072.05,6853.236011,94.15203683,3591
5,709.094964,426387.555,337018.1076,3658.447413,70.72750052,3,293426648.7,2,1677832.671,27659.90205,86.83913163,4266
3,691.4871144,282108.4719,174649.533,1725.388107,55.08414523,1,447908631.5,2,6736675.551,30298.76044,91.55543375,4229
1,577.3377444,90285.956,220351.5989,2365.965835,76.47519828,4,450623002,3,7840516.495,2560.643804,91.83429561,605
6,337.47713,199671.8857,120988.4638,2726.57836,77.14534142,4,342318569.9,1,1861727.785,44576.09545,67.00981103,1730
1,547.8417223,42348.75529,3438.753337,2148.557641,60.68253567,4,211411931.4,1,1311498.733,28095.44822,37.56073639,3105
4,382.5498521,497064.5863,338662.3548,1905.433749,84.34929703,2,183538136.4,3,9107501.479,15009.85159,70.75439336,2271
2,30.45089812,327220.9663,244523.6156,7418.320081,76.1897347,3,258738829.7,3,17434435.53,26401.57619,83.39505373,4913
4,620.8903474,241487.094,78146.22961,4986.479166,82.70898682,2,218550920.8,3,11217802.29,23970.80333,83.67925694,1030
7,136.5444317,469866.7899,249012.1169,3317.360836,78.13092901,3,299850287.9,2,16920043.22,43879.25002,51.25755203,982
4,570.5766495,363320.6666,286693.0921,5932.297407,80.30676832,1,331590238,2,4482893.6,20096.33718,10.72978194,942
6,72.11642431,33472.88724,213031.7629,5493.970062,93.01539427,4,389638870.9,1,5356881.526,47653.31859,59.25388603,2770
5,786.4986745,481785.599,429922.5999,5481.556448,50.01344343,1,116945722.7,2,9376096.351,3373.463768,56.61843953,1280
3,878.9833317,297813.2937,441762.8293,793.9536947,85.75842906,1,311765142,2,19429544.72,37220.69245,25.50296361,4964
5,187.8843832,26274.39386,278678.4713,8350.773048,57.30184306,4,230706882.9,1,3377788.08,1897.905817,16.97815391,2819
7,578.9731323,205939.0364,805.2692276,2271.550155,84.69971861,4,34172350.17,3,19012377.4,32533.52991,24.30982745,3873
1,781.8835433,60875.42328,429689.7253,603.6508254,97.24413472,1,324987070.1,3,7901595.556,48149.12792,9.255765306,3848
6,307.3842935,449644.4874,69738.06976,6868.553319,95.04169916,3,327019094.5,3,2826590.754,12768.08114,99.58889504,2175
5,449.4302361,187350.651,269810.2665,8881.739821,97.95668975,1,176897631.5,2,17000868.68,37845.48698,84.41258448,488
7,939.8881007,190189.8028,5813.563146,9539.418335,68.78207444,4,163088239.5,3,2090193.022,38564.04323,25.41819726,4683
4,307.1134413,255794.1281,302605.3122,6424.227805,57.10102922,1,499930442.7,3,17293341.25,49411.90056,91.20724751,1288
3,773.3657449,227957.6231,445309.4312,3854.327595,87.54614827,2,259745185.1,2,18323915.61,39263.72356,61.56033972,334
1,576.163917,199615.0157,443123.2694,4453.077251,61.36945653,1,450715587.2,3,14176685.18,37413.62665,63.5987719,770
1,914.9277748,35649.25506,357990.8412,1488.554476,65.54699615,1,52517600.89,3,3865900.147,36539.46043,87.89420225,3707
6,646.2159856,436368.3468,340496.5017,2913.213483,94.39081094,1,335017498.6,3,19403217.77,21413.37783,98.62266241,3184
6,426.6405431,410304.743,301533.843,6207.328519,99.49081976,3,81054575.9,3,8515215.129,23355.24162,33.23697377,580
4,685.4057957,365729.4086,56350.77663,4101.853186,79.13274906,3,28435179.43,3,16574028.48,42488.83582,88.95905571,3764
5,645.4765304,192070.7818,250258.7091,6176.098125,73.40910913,2,291619713.9,1,13425764.27,25591.18533,6.500700975,3754
1,674.2028994,408364.1266,192016.4607,7253.197582,63.76727271,4,263561619.7,1,7950537.295,1101.231673,74.93476491,921
5,713.7951116,116859.7687,175109.0387,9675.093031,56.42864392,1,239868182.9,3,18235073.8,41965.21559,50.97360679,2470
4,390.943596,114530.138,233262.5787,6604.467947,89.07747526,1,163636800.1,2,11871437.26,45000.23113,65.87208167,1836
1,277.4980723,278268.0691,358998.1563,8588.968204,91.77369263,4,188919755.5,2,8167152.052,3611.671347,7.735264483,2553
6,315.2037978,258329.176,342587.3506,9736.257593,84.34900925,3,451074018.4,3,17170708.84,5844.665447,64.57407746,4013
3,393.8793625,266446.8947,240950.6856,4216.377785,91.91365711,3,412992742.2,3,1525117.517,503.2584192,96.26076868,2041
7,385.8996148,132102.4412,187825.3224,7141.738061,51.45932638,1,84666488.79,2,15116196.82,6495.979593,74.15524336,2229
3,966.2971629,19118.98015,299361.0509,3795.353232,97.19375161,2,280686668.9,3,16871475.97,39266.08033,26.78387561,1170
2,301.9631048,238778.2853,360391.6766,2008.160143,95.42538688,3,422831938.2,1,16341942.37,20542.77917,29.12492508,3758
1,393.6980806,142727.2499,267069.0821,4114.875697,72.95836925,4,255057609.6,1,8267420.5,41444.3218,26.82121291,1547
1,208.2593983,400019.8292,152375.798,8853.068909,96.72857669,1,9408360.027,1,17877046.24,45058.78937,28.03523715,319
2,722.3713425,485174.6996,351253.533,1281.017242,79.76171894,2,459126172.4,1,2808657.384,13415.26432,48.45808109,2768
4,479.8378074,12944.7647,397942.0856,4580.17467,94.62533488,2,209843209.3,1,16286002.5,44720.69593,73.14742717,2382
3,534.1869266,271001.2175,34684.56288,4213.296366,72.24066022,2,10227819.36,1,3944830.693,21582.34586,4.748212671,4809
3,437.0291943,421309.2257,5739.784795,2167.408511,83.62146379,3,70100442.05,3,5773329.525,18644.9235,64.12052009,4760
6,454.4803801,296844.4713,318670.3178,4555.833624,80.39717515,2,248071132.1,3,11229445.62,27265.12985,67.7540207,1029
5,500.765668,63591.44016,411586.1527,1839.146918,56.10692493,1,8426925.495,1,2104623.654,43027.11347,19.71932926,2767
7,927.430061,483455.2689,61535.31603,9008.002987,74.08228141,1,450932642.7,2,2554020.998,42471.4271,15.46906048,682
4,298.1526218,254112.9224,37589.31782,8558.88566,82.80830697,1,339797591.1,2,11123377.86,3576.363168,10.96606871,675
7,234.3402015,145237.7298,249289.6974,2204.520391,78.36561202,2,161571643.3,3,3621265.339,21440.82676,51.96682604,3121
4,304.5871202,105054.8627,192836.8584,4728.74245,72.17929199,1,141515558.4,1,7571808.935,10666.3368,90.50806769,3895
5,889.861526,300481.6459,116145.0869,2807.590344,88.33838106,3,319557050,1,1387515.209,46870.39489,6.238179531,2885
2,460.5441872,493714.044,295996.907,2501.773475,84.45304212,2,72017041.66,1,3172668.064,41952.60653,37.96381951,1256
6,67.73421849,211710.408,120389.0174,6726.605113,72.18835954,3,147474604.3,1,680646.0777,27274.89746,17.28019929,3142
5,380.2640868,54587.36453,302732.6765,326.804124,55.43020306,4,349816556.3,1,15561505.51,5547.125673,59.28663162,1654
6,150.6760638,154320.3032,331317.477,508.0959661,92.6953058,4,277804072,1,14578409.34,24839.94018,34.76367666,2868
7,774.4803759,150365.7721,306200.6692,5841.191166,53.98225663,3,66920045.38,2,18056518.46,23007.72819,14.48601742,2266
4,701.1789403,156869.3284,441649.5461,1380.721031,58.25511,1,65739320.57,3,11762727.17,5391.661191,44.35160677,331
4,349.6387383,62842.29938,60853.99637,7294.554512,83.41255692,1,51645969.55,2,8032059.921,4784.694881,87.57756677,3901
4,649.585195,296744.3055,89888.44467,4743.282705,62.58831979,4,103806876.7,1,18992804.56,45059.94133,85.48387572,788
3,754.196097,81289.58243,24543.89014,2637.348076,87.02102147,4,106602196.3,3,13601343.54,30320.45506,49.78162345,218
1,327.9759746,140968.0189,148205.341,3411.167259,68.49967838,2,212163839.6,2,18403483.66,39311.44609,55.28412425,3463
7,73.72940753,128560.5044,428207.3435,1978.896841,87.74993537,4,62409092.15,3,17967713.98,23284.76974,84.16403375,1320
6,837.6686007,228512.4512,376252.1346,6453.744147,87.59785068,2,117130265.4,2,1169015.834,48647.31268,54.35661242,554
5,716.6539617,105717.7911,296886.0395,7843.444404,78.81309989,2,331664800.7,2,4333885.06,46938.33554,99.12513114,2689
2,994.0553902,385881.6713,210569.3413,8389.458703,71.68170411,3,366718549.8,2,12170470.44,25032.24446,26.33865666,2771
4,103.0996037,426749.7856,431239.9358,3599.537825,68.65051088,3,459996214.6,1,4349238.925,5797.855892,87.80658463,3668
3,846.2873144,395145.4607,244930.6659,6488.665903,91.33617181,4,10074618.17,1,10546402.97,46123.29555,77.21559408,4988
7,726.0009168,357931.5901,177561.7254,9423.480483,67.12623399,2,158705439.3,2,5262444.26,33599.36693,77.6060789,4007
1,979.3677506,434548.5978,229080.723,6981.949885,57.37285346,3,395653962.3,1,13479753.76,49417.85712,53.88787508,2909
4,284.4562754,408524.1229,249987.0962,7636.542811,54.02994116,4,339243768.3,3,1342607.288,43036.35998,44.87724428,922
5,361.0295231,156522.3701,136578.868,1812.021381,89.22221365,1,304871742,1,16028329.07,20311.55675,49.85815663,71
5,230.4083199,389696.465,92441.40877,1723.893797,70.50890167,4,285335871.8,1,3474253.305,33118.81359,10.75704891,581
4,201.9224682,101442.239,79195.83616,4412.617068,53.52788771,1,498683035.8,3,802687.1603,42448.01111,20.94816195,1959
1,490.2090126,121395.48,121383.4713,7241.936665,79.65357894,4,336831072.3,2,17895440.25,16224.45164,79.59363665,274
3,594.2304857,146188.9366,416674.5292,6432.083617,50.4159042,2,68987313.02,3,18026335.36,25965.45721,78.19784011,906
5,386.2627262,472865.2776,27300.07422,398.0976611,52.40536653,2,421623370.3,2,7382688.637,5683.400646,59.09198378,194
4,90.25872716,155830.3401,294797.6336,1607.258017,59.08523061,3,450665182.8,3,6659072.459,28768.63881,84.89208569,1811
5,456.8059093,437489.144,72384.78684,1306.412361,75.24432166,4,34743280.72,1,8287472.345,11555.37874,19.12702042,4494
5,15.0035068,153833.5617,435898.211,4475.540276,64.48642314,2,265628344.4,2,10254612.33,20822.93066,64.17901301,3125
1,889.3167819,331483.9184,386069.2665,2475.920289,95.75037461,1,430499212.2,3,10472231.63,47358.68596,96.22785553,2374
4,897.9185149,260969.3358,368688.9703,6633.811927,86.77371331,3,88304634.23,2,5027139.158,7821.664399,58.54917374,2028
5,200.7544736,106128.3745,173641.8407,2195.599419,59.4312308,4,187052946,3,14092321.48,49433.67816,20.89717907,388
7,550.1252947,90571.93943,14565.87464,8360.393979,85.98843402,4,267602002.2,1,6619372.861,11800.46997,38.84268905,611
6,604.9470503,329392.6136,257916.5412,9793.471676,91.87507524,2,242110771.3,2,19206871.48,2067.943606,17.20046104,913
6,440.0342595,46313.67867,289640.9893,8716.004536,97.89036619,4,477289804.4,2,8501134.829,43807.04013,76.18351861,4330
2,310.8796886,165090.5451,147854.301,6347.596151,90.54538025,3,63223145.86,1,3358714.195,42364.08555,17.3961007,1021
7,755.8214321,432843.661,60216.00393,1651.326128,60.1467685,3,462162848.4,3,1975223.664,11858.71267,30.9769959,4617
3,455.8994249,164934.6318,66535.93563,5305.323816,95.3382752,2,41590082.6,2,5743274.507,38244.47107,80.00315672,4788
6,423.0287797,62978.27181,255393.4889,8657.854429,63.00993482,1,473531930,1,4622624.498,5769.320972,54.73456862,1403
7,427.2251944,446279.2909,203905.2357,1633.82723,60.41377098,2,28800297.69,3,13686745.8,10364.17394,55.75332541,2693
4,393.6141973,115925.1215,61054.36864,7611.884599,83.86521672,4,411318931.5,2,7473393.746,15248.17568,4.911346449,2028
3,776.1539767,477723.4797,422507.2074,8526.763078,94.67824763,4,399860533.3,2,8708224.403,11701.68588,29.4855989,2959
2,653.6685739,183900.3781,65807.01501,8365.242713,68.60424836,1,42471296.06,3,8583026.826,46254.19261,92.78795576,2912
7,540.6417382,458624.0901,248407.3239,5828.685811,77.65033707,4,75516983.27,2,6834470.742,34748.0137,94.52142889,910
5,489.3955681,376366.1066,199259.8983,5995.144274,52.18066314,4,43238006.75,2,19269099.78,34117.9587,7.353204904,2808
